ronda,orden,caso,operacion,localidad,motor,regiones_hogar,inicio_utc,latencia_ms,reintentos
45,3,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.374+00:00,1.347,0
45,4,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.375+00:00,0.168,0
46,1,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.375+00:00,0.161,0
46,2,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.375+00:00,0.160,0
46,3,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.375+00:00,1.499,0
46,4,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.377+00:00,1.609,0
47,1,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.379+00:00,0.173,0
47,2,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.379+00:00,1.359,0
47,3,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.380+00:00,0.186,0
47,4,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.380+00:00,1.428,0
48,1,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.382+00:00,1.484,0
48,2,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.383+00:00,1.423,0
48,3,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.385+00:00,0.205,0
48,4,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.385+00:00,0.181,0
49,1,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.385+00:00,1.277,0
49,2,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.386+00:00,1.252,0
49,3,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.388+00:00,0.200,0
49,4,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.388+00:00,0.160,0
50,1,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.388+00:00,0.157,0
50,2,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.388+00:00,0.156,0
50,3,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.388+00:00,1.366,0
50,4,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.390+00:00,1.323,0
51,1,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.391+00:00,0.165,0
51,2,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.391+00:00,1.511,0
51,3,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.393+00:00,1.493,0
51,4,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.394+00:00,0.183,0
52,1,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.395+00:00,1.364,0
52,2,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.396+00:00,0.167,0
52,3,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.396+00:00,1.445,0
52,4,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.398+00:00,0.167,0
53,1,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.398+00:00,1.461,0
53,2,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.399+00:00,0.183,0
53,3,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.399+00:00,0.205,0
53,4,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.400+00:00,1.407,0
54,1,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.401+00:00,1.468,0
54,2,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.403+00:00,1.380,0
54,3,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.404+00:00,0.168,0
54,4,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.404+00:00,0.161,0
55,1,lectura-remota,lectura,remota,postgres-1-nodo,cr-limon,2026-09-17T22:40:48.404+00:00,0.186,0
55,2,escritura-local,escritura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.404+00:00,1.512,0
55,3,lectura-local,lectura,local,postgres-1-nodo,cr-sj,2026-09-17T22:40:48.406+00:00,0.170,0
55,4,escritura-cruza,escritura,cruza,postgres-1-nodo,cr-sj+cr-limon,2026-09-17T22:40:48.406+00:00,1.320,0
